ID	Name	Description
-1	?????	-
0	兽道推车	在简约实用的家具搭配下，帘上的红灯笼在黑暗中尤为亮眼，营造了让夜游者安心的禅意空间。客人到此买的皆是一份人情，一份自在。可摆放三套厨具，容纳三桌客人。
1	兽道小屋	不做过多装饰，自然的木质在这片平和与清冷中注入一份温润之感。空气里的木头气味和美味佳肴的芳香混合后的怡人香气，也让这里的氛围变得温暖。可摆放六套厨具，容纳六桌客人。
2	兽道雀食堂	在简洁舒适的基调之上，柔和的灯光和舒适的氛围让环境变得友好。点缀在各处的装饰画，让整个较为简洁的空间变得活泼起来，为空间注入一丝时尚气息。可摆放八套厨具，容纳八桌客人。
3	人里推车	在简约实用的家具搭配下，帘上的红灯笼在黑暗中尤为亮眼，营造了让夜游者安心的禅意空间。客人到此买的皆是一份人情，一份自在。可摆放三套厨具，容纳三桌客人。
4	人里小屋	不做过多装饰，自然的木质在这片平和与清冷中注入一份温润之感。空气里的木头气味和美味佳肴的芳香混合后的怡人香气，也让这里的氛围变得温暖。可摆放六套厨具，容纳六桌客人。
5	人里雀食堂	在简洁舒适的基调之上，柔和的灯光和舒适的氛围让环境变得友好。点缀在各处的装饰画，让整个较为简洁的空间变得活泼起来，为空间注入一丝时尚气息。可摆放八套厨具，容纳八桌客人。
6	神社推车	在简约实用的家具搭配下，帘上的红灯笼在黑暗中尤为亮眼，营造了让夜游者安心的禅意空间。客人到此买的皆是一份人情，一份自在。可摆放三套厨具，容纳三桌客人。
9	神社推车	[客流量加倍]的神社推车
7	神社小屋	不做过多装饰，自然的木质在这片平和与清冷中注入一份温润之感。空气里的木头气味和美味佳肴的芳香混合后的怡人香气，也让这里的氛围变得温暖。可摆放六套厨具，容纳六桌客人。
24	神社小屋	[客流量加倍]的神社小屋
8	神社雀食堂	在简洁舒适的基调之上，柔和的灯光和舒适的氛围让环境变得友好。点缀在各处的装饰画，让整个较为简洁的空间变得活泼起来，为空间注入一丝时尚气息。可摆放八套厨具，容纳八桌客人。
25	神社雀食堂	[客流量加倍]的神社雀酒屋
10	红魔馆推车	在简约实用的家具搭配下，帘上的红灯笼在黑暗中尤为亮眼，营造了让夜游者安心的禅意空间。客人到此买的皆是一份人情，一份自在。可摆放三套厨具，容纳三桌客人。
11	红魔馆小屋	不做过多装饰，自然的木质在这片平和与清冷中注入一份温润之感。空气里的木头气味和美味佳肴的芳香混合后的怡人香气，也让这里的氛围变得温暖。可摆放六套厨具，容纳六桌客人。
12	红魔馆雀食堂	在简洁舒适的基调之上，柔和的灯光和舒适的氛围让环境变得友好。点缀在各处的装饰画，让整个较为简洁的空间变得活泼起来，为空间注入一丝时尚气息。可摆放八套厨具，容纳八桌客人。
14	竹林推车	在简约实用的家具搭配下，帘上的红灯笼在黑暗中尤为亮眼，营造了让夜游者安心的禅意空间。客人到此买的皆是一份人情，一份自在。可摆放三套厨具，容纳三桌客人。
18	竹林推车	[无妹红辉夜]的竹林推车
19	竹林推车	[无因幡帝]的竹林推车
15	竹林小屋	不做过多装饰，自然的木质在这片平和与清冷中注入一份温润之感。空气里的木头气味和美味佳肴的芳香混合后的怡人香气，也让这里的氛围变得温暖。可摆放六套厨具，容纳六桌客人。
20	竹林小屋	[无妹红辉夜]的竹林小屋
21	竹林小屋	[无因幡帝]的竹林小屋
16	竹林雀食堂	在简洁舒适的基调之上，柔和的灯光和舒适的氛围让环境变得友好。点缀在各处的装饰画，让整个较为简洁的空间变得活泼起来，为空间注入一丝时尚气息。可摆放八套厨具，容纳八桌客人。
22	竹林雀食堂	[无妹红辉夜]的竹林雀食堂
23	竹林雀食堂	[无因幡帝]的竹林雀食堂
13	白玉楼	试炼与决战之地。
17	白玉楼	试炼与决战之地。
