ID	Context
0	老板娘——这边——
1	您是……
2	你每次来月都必须经过的槐安通道，就是我给你打开的哦。
3	啊！这么说您就是掌管梦境的那位……
4	没错。我是梦之支配者，哆来咪。这位是月之贤者之一的，探女大人哦。
5	哆来咪小姐您好！还有……探女小姐……您好……
6	……
7	那个，可能是我的自我意识过剩……
8	您二位难道是专程在这里等我的吗？
9	没错！经常使用槐安通道的你，我们可要来收点过路费啦～
10	啊？过路费？！
11	就像开着车子过高速公路一样，每次经过，都会对路面造成一定的损坏，所以才需要“过路费”来养护，这点你可以明白吗？
12	哦……我大概能明白，就好像锅子每次使用都会损耗，就要拿去给铁匠养护一样……
13	那、那要收多少钱呢……
14	我想收的不是钱，而是一个委托。
15	委托？
16	就如刚刚所说，每次使用槐安通道都会减少梦境的稳定性。
17	维护梦境的管理人就是我，而维持梦境稳定的能量来自于世间所有生物。
18	所以，我希望到你的店里去工作，收集大家的梦境能量，来让梦境更健壮。你可以明白吗？
19	原来是这样！可是为什么选上我的店呢？
20	因为老板娘的店是难得每天都会聚集各色各样的人的场所嘛，而且正好开在深夜这种梦境能量最活跃的时候。一定能收集很多梦境能量！
21	那……收集梦境能量的话，会对我的客人带来什么伤害吗？
22	不会的，就相当于从人类的身体抽出一滴血那样，梦境能量也是从他们的梦当中抽出“一滴”哦。
23	虽然对着一个人猛抽的话多少有点问题……但我不会对着一个人猛薅的。这点请你放心。
24	这样的话……那我答应您，没问题。
25	很顺利呢！这样你就放心了吧？
26	……
27	梦境是月之民最后的庇护所，需要维持它的稳定性，因为那个人不知道什么时候会再度攻来……你作为指挥官，也真的是操碎心了。
28	……多谢了。
29	谁让我还欠着你人情——
30	那么就这么愉快地决定了！老板娘，要时常让我去帮忙哦～
31	嗯！一言为定！
