ID	Content
0	……这哪里是试炼啊！这是地狱吧！？
1	怎么样？感觉到自己的无力了吗？
2	这些幽灵源源不绝，胃口就像无底洞一样，正常客人哪有这样的！
3	……
4	虽然现在的你还不够成熟，但我确实看到了你的可能性——
5	你总会需要面对这样的客人……在不远的未来……
6	回、回来了——
7	那家伙没有为难你吧？
8	灵梦小姐……
9	发生什么了？
10	妖梦小姐……将我带到冥界，进行了一场仿佛无止境的试炼……
11	……
12	那家伙的心情也不是不能理解。别看她总臭着一张脸，其实她比谁都希望你修行顺利。只是她不敢将希望全寄予你身上，但她又确实无计可施……
13	那位大人，对她一定很重要吧？
14	算是吧。
15	可是，那场试炼，我的表现大概说不上成功……
16	灵梦小姐……为什么会选择我呢？
17	……
18	我也问过紫这个问题，但她没有回答我。她只说，你是唯一的那个未来。
19	……
20	我以前也半信半疑，但是现在，我愿意相信你。
21	我……
22	哎——与其去想那些自己想不通的事情，不如看看当下有什么是自己能做的。
23	说、说的也是……
24	去吧。即使彷徨也不要停下脚步。你还有需要做的事情吧？
25	……我明白了。我会好好收拾心情，继续前进的！
