ID	Context
0	魅魔小姐，研究噗噗呦果的事还顺利吗？
1	不是让你别再牵扯进这件事了吗？
2	我、我不是想阻扰您做研究……我这次来，是想向您道歉！
3	对您说了自以为是的话，是我不对，希望您之后还愿意让我帮忙！
4	……
5	你对魔法一窍不通，为什么要这样为我忙前忙后？
6	魅魔小姐您的眼中只有研究，就算明知有危险的情况，也绝不会退缩吧？
7	……是这样没错。
8	魅魔小姐并不在意自己的安危，可总会有人在意的。
9	哦？我自己都不在乎的事，他人在乎又有什么意义呢？
10	魔理沙小姐一定很在意您的安危，在意您现在过的好不好……
11	现在，我也是，我也担心……
12	要是我能多多少少帮魅魔小姐少走一些弯路，或者减少危险发生的可能性的话……
13	那不管什么我都会去试试的！
14	要是因此丢掉性命呢？
15	欸？那个……我……这个……
16	呵呵，我逗你呢。我怎么舍得那样。
17	如果说魔理沙是人类中的奇葩，那你就是妖怪中的怪胎呢。
18	诶！？怪、怪胎！？
19	我是在夸你很可爱哦。
20	……是这样吗？
21	总之，多谢你一直以来提供的情报，它们对我来说很有用。
22	我继续进行下一步研究了。这应该是最后一步了——
23	以后有机会，我会还你这份人情。
24	……
25	魔理沙小姐在很多方面都很像魅魔小姐，但却很少考虑“还”这件事呢……
