ID	Content
0	说起来，响子~
1	嗯？
2	昨天真是帮大忙了！对付特殊客人的蜂蜜！
3	食材的储备可是很重要的！正所谓有备无患嘛！
4	这么说来，食材的获取方式，米斯琪应该都了解了吧？
5	啊，一般在兽道可以看运气采集到不少。
6	没错，运气好的时候，说不定还会有意外收获哦。
7	食材经过采集之后需要一些时间重新生长来着，不能无穷无尽地向大自然索取哦。
8	心存感激——
9	另外，食材也会有最合适的采摘时间来着，需要好好留意一下哦。
10	我们还要在这里营业很久呢，有足够的时间搞清楚所有的好东西都在哪里！
11	但是也不能太沉迷于采集……晚上到六点可还要开店呢。
12	反过来，如果说已经没有想要采集的东西了，也可以提前开店。
13	不过我还是很担心，感觉兽道的食材虽然很丰富，但是按照昨天晚上那样的消耗有点不够啊……
14	噗，当然不会全部靠采集啦！
15	你看那边——
16	桥的那一边吗？
17	没错，那边有一个人类的商人，会贩卖一些基本的食材。
18	虽然看我不是人类，有故意宰我来着……
19	但、但是这样就需要钱……
20	我把钱拿来买食材，然后再做成食物卖掉——所谓的生意，就是这样的嘛！
21	米斯琪说这些话的时候，真的很有老板娘的样子呢！
22	我本来就是老板娘！……虽然店很小就是了。
23	没关系，一起努力吧！总有一天会变成很大的店面的！
24	嘿——兽道的大家——晚上都可以来夜雀食堂吃吃看啊——！
