ID	Content
0	寻找料理人的小妖怪…就是你吗？
1	是又怎么样啦！你是来嘲笑我的吗？
2	怎么会呢，看到报纸后我很担心，想着有什么能够帮上忙的。
3	……我……我心领了，但是你也是妖怪吧，看起来不像是很擅长料理的样子…
4	是吗…我看起来是不擅长料理的样子吗…
5	真打击啊…连年幼的小妖怪也小瞧我啊…
6	不说这个了…总之，我的母亲受了很重的伤，长期在家里疗养。
7	现在家里大大小小的家务都由我来处理，那些家务事倒是没关系啦…
8	唯独料理…妈妈从小就爱吃一种料理，我想如果她能够吃到这个的话，一定可以打起精神。
9	无论是食材又或是制作方法，我都无能为力…昨天有天狗路过，听说了我的事就…
10	原来如此，可以告诉我吗？也许我可以帮上忙。
11	虽然你可能觉得我不太可靠但…我确确实实是一个料理人哦。
12	那、那么…你能做出烤八目鳗吗？
13	烤、烤八目鳗？！
14	对！就是烤八目鳗！那是妈妈从小就爱吃的东西！
15	但是我无论如何都找不到八目鳗，也不知道怎样能做出妈妈喜欢的味道。
16	如果你可以教我的话，我很感激！
17	…不如说，我唯一最擅长的，可能就是八目鳗了呢。
18	包在我身上，食材和制作的方法，就都交给我吧。
19	真的吗？我可以相信你吗？！
20	如果说世界上只有一件事情我可以百分百拍胸脯保证的话，就是这件事了哦。
21	你可以相信我哦。
22	嗯！谢谢你！
23	你看看，是不是这个呀？
24	这香气…这恰到好处的松软外皮…！
25	妈妈一定会喜欢的！一定会打起精神的！谢谢你！
26	太好了，能帮助到你就太好了。
27	那个…我身上并没有什么东西可以答谢你的。
28	这里有…我之前为了收集食材，攀上这片崖壁时，偶然看到的幻想之花。
29	因为看到它，我才鼓起勇气继续寻找的。
30	……就……就送给你了！希望你不会嫌弃！
31	——哇——这就是……
32	这就是传说中的幻想之花吗…如果作为食材的话，会有多么梦幻的效果呢？
33	就交给你了！真是太感激你了！我一生都不会忘记！
