KEY	NAME	DESCRIPTION
Main_1_BeastForest_001_News_Start	烤串店老板拯救高利贷少女！	也许兽道的居民有所耳闻，一直在兽道无证经营的夜雀食堂的老板娘，竟然挺身而出拯救陷入高利贷的朋友！结果是自己也陷入了高利贷。
Main_1_BeastForest_002_News_Start	无证经营的兽道小摊进行了一次扩张！	无证经营的摊贩生意愈加红火，竟然扩张了店面！我们采访了博丽的巫女，对此她表示有空会去进行执法。
Main_1_BeastForest_003_News_Start	夜雀食堂、生死未卜！	博丽的巫女前往无证摊贩处执法！这个最近很红火的小摊的未来将何去何从……？
Main_2_HumanVillage_001_News_Start	人间之里的新店！	兽道的无证小摊转移到了人间之里！人间之里的夜生活将更加丰富！
Main_2_HumanVillage_002_News_Start	警惕！连续偷盗事件……	最近发生了许多针对人类的偷盗事件，是对幻想乡人类种族的针对性攻击，还是单纯的欺软怕硬？
Main_2_HumanVillage_003_News_Start	小心金发小女孩！	为祸幻想乡的雾雨魔理沙最近又接连犯下偷盗案件，对此她毫无悔意：读书人的事情能算偷吗！
Main_2_HumanVillage_004_News_Start	家畜连续丢失案件变为悬案!	家畜连续丢失案件变成了悬案，甚至扩大到人类和妖怪的失踪……幻想乡人心惶惶。
Main_3_HakureiShrine_001_News_Start	夜雀食堂博丽神社新店、堂堂开业！	最近在兽道、人里大受好评的夜雀食堂，竟然和巫女握手言和，将分店开到了神社？让我们拭目以待。
Main_3_HakureiShrine_002_News_Start	警惕从夜雀食堂传来的死亡之音！	昨晚发生了一件怪事，夜雀食堂的老板娘和伙计在营业中突然鬼哭狼嚎。最奇怪的是，客人们居然都拍手称赞！这死亡之音里是否混入了什么操纵人心的魔力，我们会进一步跟踪调查。
Main_3_HakureiShrine_003_News_Start	博丽巫女寿元将至！？	博丽的巫女最近精神萎靡，就连面对我们的采访也只是关门相拒的程度。毕竟是短命的人类，巫女的寿元或已到极限。下任巫女的选拔仪式或将在不久的未来举行。
Main_3_HakureiShrine_004_News_Start	夜雀老板娘的阴谋或将揭露！	我们一直对夜雀食堂的老板娘进行跟踪调查，发现她最近竟然伙同鬼和天人在密谋着什么。这两者都是能一举撼动幻想乡的人物，勾结在一起不得不防！
Main_3_HakureiShrine_005_News_Start	对「博丽巫女寿元将至！？」的澄清	关于「博丽巫女寿元将至！？」的报道，完全是我们自以为是而导致的错误。看到巫女怒气冲冲地掖着报纸冲过来的样子，就能明白她命还长着了。
Main_3_HakureiShrine_006_News_Start	可疑的神龛	博丽神社的巫女最近因为一个可疑的神龛感到不快……
Main_3_HakureiShrine_007_News_Start	妖怪兔奸商出没请注意！	近日，有狡猾妖怪兔在妖怪山店铺流窜，专门强买强卖，敬请商户多加防范！
Main_4_ScarletMansion_001_News_Start	坐落在恶魔馆门前的夜雀食堂，现已开业！	实在是匪夷所思，幻想乡高人气食堂居然将新店开在盘踞着可怕恶魔的红魔馆门口。如此一来，客人究竟是去吃饭还是被吃，日后便能见分晓……
Main_4_ScarletMansion_002_News_Start	夜雀妖怪向恶魔势力宣战了！	夜雀食堂的新店毫无悬念被红魔馆的主人上门来找茬了。令人意外的是，老板娘不仅毫不退却，还向恶魔之仆发起挑战！且不说胜算多少，单论这份气魄，也值得吾等为其默哀十秒。
Main_4_ScarletMansion_003_News_Start	吸血鬼再次到夜雀食堂找茬！	据悉，吸血鬼大小姐昨夜又到夜雀食堂恐吓老板娘。这种欺负弱小的行为是我们天狗一族最不齿的，我们会继续监督和曝光吸血鬼的恶行。
Main_4_ScarletMansion_004_News_Start	号外！吸血鬼仆从VS夜雀妖怪、胜负已分！	夜雀食堂的老板娘竟然战胜恶魔之仆，赢得了这场赌局的胜利！真是可喜可贺！要说的话，也多亏本报记者一直关注这件事，否则弱小的夜雀或已被吸血鬼抹杀。当然，这种事自不必说，吾已习惯深藏功与名。
Main_5_BambooForest_001_News_Start	夜雀食堂迷途竹林新店、即将开业！	夜雀食堂的人气越来越旺盛，新店选址却越来越邪门。这回，夜雀食堂竟将新店开到迷途竹林！其背后究竟藏有什么意图……
Main_5_BambooForest_002_News_Start	不死鸟VS竹取姬！赌上尊严之局！	不死人之间的斗争愈发激烈，这回竟将夜雀食堂也牵扯了进来。上位者如此罔顾普通妖怪的人身权益，实在让人愤恨！本报将继续跟踪报告。
Main_5_BambooForest_003_News_Start	不死鸟VS竹取姬！落幕！	据说人类活得越久就越像孩子，这两人充分体现了这一点。原以为至少会弄出一碗杂碎汤，结果只是玩过家家游戏的程度。对于这种占用公共媒体资源的行为，本报强烈谴责。
Main_5_BambooForest_004_News_Start	夜雀老板娘与冥界代表的密谈大特写！	本报拍到了两人在神社内进行可疑密谈的瞬间，会谈过程中还有巫女在一旁守卫。事态越发扑朔迷离，她们的目的是什么？巫女是哪一边的？沉浸于和平的蜜罐中的幻想乡或许已经离崩溃不远了。
Main_5_BambooForest_005_News_Start	鸟兽伎乐、演出完满落幕！	 
Side_BeastForest_001_News	想要和人类村民进行交易……	年幼的妖兽似乎有什么苦恼，如果愿意帮助他的话，请到人类村子的入口找他吧！
Side_BeastForest_002_News	年纪大了，眼睛不好使啦……	年老的妖兽在寻找能够帮他在兽道悬挂灯笼的对象，有意协助者可以到兽道去找他。
Side_BeastForest_003_News	发生在兽道里的谜之集会！	有妖兽声称兽道内有可疑的集会，并且寻找协助者调查，有意者可以到兽道去找他。
Side_BeastForest_004_News	为了人里和兽道的和平！	兽道似乎有妖兽正在为了不得了的事情烦恼着，有意协助者可以到兽道了解一下。
Side_BeastForest_005_News	人类真是蠢不可耐！	“昆虫的通知”服务团队正在寻找能够协助团队完成委派任务的厨师！有意者请前往洽谈！
