ID	Context
0	屠自古小姐，为什么道士们总是看起来很忙碌的样子呀？
1	修行不都是这样吗？尤其是他们修仙的，每天清晨睁眼就要面朝旭日，咏唱上万次真言。
2	午间时分可以自由地外出散步片刻，等到了日落西山之时，又必须再度面对斜阳咏唱真言。
3	难怪他们嘴里总是在碎碎念的样子，原来是这样一回事！这也太忙了……
4	每当这个时候，我就庆幸自己是个幽灵。可以不受任何拘束、随心所欲地到处飘荡~
5	噗呲——确实是这样呢！那这位自由的幽灵小姐，今晚要不要飘到我的店里来吃饭呢？
6	哈哈哈！那我就赏脸飘过去一会吧~
7	屠自古小姐，为什么道士们总是看起来很忙碌的样子呀？
8	修行不都是这样吗？尤其是他们修仙的，每天清晨睁眼就要面朝旭日，咏唱上万次真言。
9	午间时分可以自由地外出散步片刻，等到了日落西山之时，又必须再度面对斜阳咏唱真言。
10	难怪他们嘴里总是在碎碎念的样子，原来是这样一回事！这也太忙了……
11	每当这个时候，我就庆幸自己是个幽灵。可以不受任何拘束、随心所欲地到处飘荡~
12	噗呲——确实是这样呢！那这位自由的幽灵小姐，今晚要不要飘到我的店里来吃饭呢？
13	哈哈哈！自由的幽灵小姐可不接受预定哦！看风愿不愿意把我送到你的店里去吧！
