ID	Content
0	这样就开始夜间的经营了！
1	虽然现在还是一个小推车……但迟早会变成大食堂的！
2	这里是料理区域，使用它们就可以将食谱上的菜单制作出来。
3	不同的料理用具所对应的食谱是不同的，需要注意哦。
4	酒水柜在这里，可以从这里取出准备的酒水来。
5	拿错的话也可以随时放回去。
6	这里是保温柜，做出来的料理临时不用的话，可以放在这里。
7	但是我们不卖隔夜料理，如果今晚没有卖掉的话，就会作废处理。
8	所以一定要注意不要做太多了哦！
9	这里是接待客人的桌子。
10	一会客人会不断前来，有空桌子他们就会坐下来。
11	一时没有空桌子的话，会暂时排队，很有礼貌呢。
12	一旦上桌点单后，客人的耐心就会开始损耗。
13	如果在客人的耐心消失之前没有上菜的话……
14	大概，会生气地走掉吧……最好避免这种结果哦。
15	这里是今晚的营业气氛！
16	如果一直提供让客人满意的服务的话，气氛就会越来越好。
17	客人就会越来越多，也会点更多单来使自己更尽兴。
18	这是赚钱的诀窍哦！
19	这里是伙伴的状态。
20	客人点单后，伙伴就会根据自己所在的岗位行动起来。
21	目前响子会来帮忙传递酒水，可以看到她的工作状态。
22	如果没有工作的话，她就会暂时休息。
23	未来应该会有更多的工作岗位和更多的伙伴吧。
24	最后，如果开店累了，可以长按圈中的按钮提前结束营业。
25	那么需要嘱咐的就这么多——
26	虽然说明有点长了，但是希望大家能够玩的开心！
