ID	Context
0	这次的体测我又是最后一名，哎……
1	再接再厉就好了嘛。
2	虽然依姬大人没有直接对我说过，但我其实是知道的……我没有天分，感觉也很迟钝……
3	我刚成为月之使者的时候，依姬大人特别关照我，还对我进行了重点训练。但显然，我的资质和上一位“铃仙”完全没法相比。
4	你就是你，为什么要和其他人比较呢？
5	依姬大人会对我进行重点训练，大概也怀着我能够替代“另一位”的想法吧……
6	那位“铃仙”是非常特殊的。从战斗方法到礼法、常识等各种事情，她都是兔子中最优秀的一位。
7	月兔们对她心怀憧憬，依姬大人也对她抱有高于其他月之使者的期望。
8	可是这么有才能的她，却在战争前夕逃离了战场。
9	依姬大人当然会觉得很遗憾吧……
10	就算是这样，那跟你有什么关系呢？
11	我和她都有从月都逃亡的经历，丰姬大人把过去的逃亡者的名字赐给我，或许……也怀了让我赎罪的意义在吧。我是这样想的……
12	另一位铃仙小姐固然很厉害，但在我心里，你也是勇敢摆脱了捣药的工作，历经辛苦才成为月之使者的勇士哟。
13	我并不是什么追求自由的勇士，不如说，我一直在后悔……
14	不是厌恶捣药、厌恶一直重复无聊的工作所以才出逃的吗？
15	可我总是在想，如果我当时没有出逃，现在会怎么样呢？
16	我以前觉得一直重复无聊的工作是一件悲惨的事情。但真的面对变故时，我又觉得平稳的日子是那么幸福……
17	我不理解，变故是指什么呀？
18	其实在你之前，曾经有地上人“入侵”过月都。
19	我记得，除了巫女小姐以外，还有黑白色的魔法使，看起来很幼稚的吸血鬼和看起来很成熟的人类女仆，以及三个杂鱼妖精。
20	哇——这几个人的样子非常轻松地就从脑子里蹦出来了……
21	当时负责迎敌的，就是依姬大人以及她带领的若干月之使者。其中就有我……
22	那是我成为月之使者后参与的第一场战斗，也是目前唯一一场……
23	因为那几个人都强得离谱，给你留下阴影了吗？
24	不，我并没有直接和她们交手。基本上是依姬大人独自把她们逐个击破的。
25	依姬小姐一个人就？！……那可是吸血鬼和最强巫女啊……
26	这还是因为依姬大人重视规则，愿意按照地上的决斗法来和她们交手，否则一口气就能把她们全部打倒了。
27	真是无法想象……既然依姬小姐强得就像作弊一样，那你还担忧什么呢？
28	话不能这么说，依姬大人的强大是她自己的，可要是换做是我，我可以躲过那些攻击吗？
29	应该够呛吧……
30	虽然听说地上的人类很脆弱，但是那些人看起来确实是强到了我完全不能应付的程度。
31	就算依姬大人表现得绰绰有余，可要是有个万一时，我能够挺身而出吗？要是发生那种事，月之都会被侵略吗？
32	……
33	你会不会有点想太多了呀。
34	可是保护月都，不就是我身为月之使者的职责吗？
35	那倒也是……
36	可在面临战斗时，我唯一的感受就是紧张到想吐。笼罩在不知道自己能不能保护自己的恐怖里……我忍不住想，如果我还是一只捣药兔就好了……
37	果然从本该属于自己的工作中逃离，这才导致了我今天的处境吗……
38	可你不是讨厌一直重复无聊的捣药工作嘛？
39	因为逃跑让我的命运发生了巨大的变化。对不追求刺激的我来说，这变化一点都不让人高兴。
40	不不，你逃跑不就是为了追求变化吗？
41	可是，如果没有在地上遇到八意大人而被送回月亮的话，我打算做些什么呢？又能够做什么呢。
42	或许会开个团子摊？
43	……我恳求过八意大人收留我，但她拒绝了。你知道八意大人为什么不愿意收留我吗？
44	那是因为，我一直保留着月之羽衣。
45	那又怎样？
46	月之羽衣是往来地月的工具，我一直保管着它，就说明我其实也有考虑过要回来……
47	现在想起来……我真的是……
48	是这么一个优柔寡断、毫无长处的家伙……
49	这就是典型的愚者吧。
50	……
51	虽然我也不知道要是你没有回到月亮的话会怎么样，不过——
52	要是那时候你被我遇到就好了，那我就可以好好带你在地上玩一圈了！我还可以请你吃烤八目鳗哦！
53	是啊……要是那时候我遇到的人是你的话……
54	一切会不会都不一样呢……
55	啊，不过我也不是完全没有机会再去地上。
56	诶？！你该不会又打算——
57	当、当然不是！是因为之前给八意大人送过信，所以依姬大人把关于送信的工作都交给我做，我也因此得到了偶尔往来地月的机会。
58	咦？那你不就可以来参加我的演唱会了吗？！
59	啊？什么演唱会？
60	就是这个——这是我的演唱会门票，不定期就会举办！不是我吹嘘，非常热闹哦！
61	你好厉害啊！我想去！！！不过，不定期举办有点……
62	你不是讨厌按部就班的工作嘛？就让你每次的送信工作多一点期待，这样不也挺好的。
63	啊！这样一想，确实感觉充满干劲了。
64	谢谢你给了我这么大的一个期许，我感觉耳朵都热络起来了！说起来，如果我也能为你做点什么就好了。
65	那我可不跟你客气啦！如果你在工作之余能帮我采集一下食材就好啦！当然不方便就算啦，我也知道月都的管制是……
66	可以啊！这有什么的！
67	诶？真的可以吗？
68	那个……铃仙小姐也在你的店里当帮工吧？虽然我没办法像她一样，但至少采集食材的话，对我来说还是很轻松的。
69	原来你在暗中和铃仙小姐较劲着呢。
70	没、没有啊！不是这回事……你、你到底需不需要嘛……
71	当然需要呀！你愿意帮忙真是太感谢了，那以后就麻烦你啦！
72	呼——好的！以后就请多多指教了——
