ID	Context
0	关于微动训练的具体内容，这是我们专门准备的食堂场地，厨房就是你的道场，你再熟悉不过了，对吧？
1	嗯嗯，只要在这里，我就有用不完的力气——
18	先接着这个！把它戴上！
19	哦——好……
20	手镯？为什么突然——
21	它就是发动“微动”能力的关键啦！
22	试着将妖力集中在眼睛上，开始聚焦巡视场内所有的客人时，手镯也会一起帮助你感应！
23	当你发现了不太寻常的小动作、小心思的时候，手镯就会收紧来提醒你！届时你会看到不一样的“东西”——
24	不、不一样的东西是……
25	具体我也不太清楚。反正以后就会知道了吧……
26	不过要注意，这个道具非常消耗精神力，发动的持续时间有限，恢复时间也很长。
27	所以要通过训练来提升发动时间，也要让恢复的时间变短。
28	以你的妖力来看的话，最开始大概只能维持几秒吧！
29	就算你这么说，我也没有什么概念……
30	也是呢……要是以我来进行参考的话，我可以持续观察1小时哦。
31	我们的差距有这么巨大吗！？该不会你其实是超厉害的角色吧？
32	我在月之使者中只能算很普通啦……
33	只要你扎实地训练，时间也一样会越来越长的。长到足以把坏人看个通通透透！
34	我明白了！那我就试试看——！
2	训练开始后，你平时熟悉的那些客人，会通过丰姬大人连接山海的能力前来食堂支援，同时故意做出一些违和的行为。
3	除了专注做出可口的料理以外，要注意观察大家有没有出现怪怪的表现哦。
4	比如突然说些平时不会说的话，又或者会点些平时不喜欢吃的东西等等。
5	如果注意到了，就在她们的食物里加上这个东西——
6	哇！好呛！！——这是？？
7	丰姬大人特别定制的，只需要一小撮，就可以让对象哭半小时的强效辣椒素哦！
8	这不好吧！？明明是来帮助我训练的，却要被喂下这种恐怖的东西——
9	丰姬大人说，这是被抓住破绽的人的不对。
10	真的没有掺杂什么私人恩怨吗……
11	而且因为所需要的预算都是丰姬大人准备的，所以有一半人没有对此表达不满。
12	那……另一半呢？
13	依姬大人也煽了一点风，对大家说这是一场比SpellCard战还要华丽有趣的战斗，另一半人的好胜心因此点燃，也跃跃欲试呢！
14	在丰姬大人和依姬大人的双剑合璧下，现在大家都准备拿出120%的专注力帮你完成训练。
15	想白白蹭吃的人，以及想和你一较高下的人，真的是很多呢。
16	原来如此……丰姬小姐和依姬小姐竟然考虑的这么周到，真不愧是常年带兵打仗的军官呢。
17	百闻不如一试，马上就来试试手吧！
