ID	Content
0	不错啊，小东西还是能做出点像样的东西嘛！
1	尤魔大人看起来吃得很开心！
2	但是为什么针刺皮肤的感觉越来越明显了啊……
3	那是作为妖怪感受到危险的本能反应呐……不瞒你说，我也恨不得马上逃离这个地方。
4	不会吧！您要是逃走的话我可——
5	呵呵，既然本能的感受到了危险，那么你们应该也知道，在这种差距之下是不可能逃得掉吧？还是说——
6	你们想提前变成我的甜品？
7	放心吧！在您面前的可是一流的生意人。
8	我既然来了，要么满足客人回去，要么就把命留在这里！如果丢弃伙伴逃命，我哪里还有颜面回去！
9	哦嚯！说得倒是好听，一会儿就知道你是不是真的这么有骨气了！
10	我明白了，荷取小姐……我也感受到了您的鼓励。
11	一流的料理人，也不能丢弃自己的客人！
12	哈哈哈哈！那就来试试看吧！
13	要开始加速了。为了生存，努力地挣扎吧！
14	小心了！探测仪的转速开始增加！尤魔的分身数量要增加了！
15	意、意料之中！和“那个人”对战后，这种事情已经习以为常了……
16	但这个不祥的律动……是普通订单和稀客订单开始混成的迹象！
17	没关系！那样的难关我已经跨越过一次了！这次我一定也能跨越过去！
18	我一定……一定会活下去的！
