ID	TITLE	DESCIRIPTION
Main_1_BeastForest_012-Mission	还款 ~ 兽道篇	向我们借一笔钱，用来还朋友的债嘛……我佩服你的义气。不过这个数字，你在期限以内究竟能不能凑齐呢？我会在那一天结束的时候来找你的。加油吧，鸟脑袋！
Main_2_HumanVillage_002-Mission	获得人里的开店许可	想要在村子里开店，需要获得有名望之人的认可。村子里有个代理着巫女工作的半兽人，去和她谈一谈吧。
Main_2_HumanVillage_005-Mission	名侦探米斯蒂娅！~ 其之一	我好不容易在村口的借书屋抢到了阿加莎克里斯Q的新书，高兴极了，一口气熬夜看了一大半，马上就快看完了！但因为前一天通宵排队，身体实在熬不下去，就睡着了……\n结果醒来以后，哪里都找不到这本书！这可是当下最热门的书，一开售就被抢购完了，就算现在再去买也买不到了！\n我还没看完结局啊，拜托了老板娘，请一定要帮帮我找到那本书！
Main_2_HumanVillage_007-Mission	名侦探米斯蒂娅！~ 其之二	我昨晚睡觉前，把我一直随身携带的玉佩摘下来放在了枕头下，第二天起来就不见了！……\n我这玉佩虽然样式古朴，但论质地，那可是一等一的好玉啊！唉，这是我娘留给我媳妇的传家宝！\n我这媳妇都还没有找到，就把这块玉给丢了，被我娘知道一定会打死我的，请老板娘一定要帮我找到啊！
Main_2_HumanVillage_009-Mission	名侦探米斯蒂娅？~ 其之三	我家是做鸡蛋生意的，为了保证能有稳定的鸡蛋供应，在后院里圈养了一群鸡。前天我像往常一样喂了食、清点了数量之后就入睡了。结果醒来以后一只鸡都没有了！没错，一只都没有了！！！\n虽然鸡圈里满地鸡毛，但是栅栏却没有被破坏的痕迹，附近甚至连脚印都没有一个，十几只鸡就这样凭空消失。真是见了鬼了！
Main_2_HumanVillage_013-Mission	还款 ~ 人里篇	别、别发呆啊！我都把机会这样送到你们面前了，想要办演唱会的心情就只有这么一点吗！？试试扩充门店继续经营如何，这样就能更快地靠近你们的梦想了！我这儿呢，正好有一个非常适合你们的贷款套餐哦！
Main_3_HakureiShrine_011-Mission	鬼之酒	酒的部分就交给我吧！小麻雀，你去准备点灵梦那家伙会喜欢的酒给我作为参考。不管是什么样的酒，我都可以将它的品质提升到极致哦！
Main_3_HakureiShrine_012-Mission	天之肴	被委派了食材的部分……谁知道那个贫穷的巫女喜欢吃什么啊。地上的傻麻雀，你把那个巫女平时喜欢吃的东西拿来给我看看。
Main_3_HakureiShrine_014-Mission	还款 ~ 神社篇	最近我们又推出了一个新的贷款套餐，现在一看简直就是为你量身定做的！能在神社开分店的机会可不常有，得好好把握才行哦！
Main_3_HakureiShrine_006-News-Mission	可疑的神龛	博丽神社的巫女最近因为一个可疑的神龛感到不快……
Main_3_HakureiShrine_005-Mission	寻找解决讨厌兔子的方法！	怎样才能让那个讨厌的兔子不要来捣乱啊……对了！灵梦小姐一定拿她有办法！
Main_4_ScarletMansion_002-Mission	获得红魔馆许可	你们到红魔馆门口，找一个中国风的妖怪。那个家伙可是连妖精都敢趴在她头上玩耍的，你们该不会连妖精都不如吧。
Main_4_ScarletMansion_014-Mission_001	进入葡萄林的许可	在葡萄林被地精拦下，需得拿到美铃小姐的信物才能获得信任！？为了能赶在咲夜小姐回来之前准备好葡萄，必须在今日内拿到信物！
Main_4_ScarletMansion_014-Mission_002	目标！拿到红美铃的信物！	终于拿到美铃小姐的信物了，为了能赶在咲夜小姐回来之前准备好葡萄，必须在今日内将信物交付给地精，以得到进入葡萄林的资格！
Main_4_ScarletMansion_015-Mission	尽情地采摘葡萄吧！	终于能进入葡萄林了。赶紧采集一些葡萄然后交给咲夜小姐吧！如果错失这次机会，或许就再也得不到咲夜小姐的指导了！
Main_4_ScarletMansion_017-Mission	寻找适合酿造红酒的罐子	咲夜小姐还在等着呢，尽快找到适合酿造红酒的罐子吧！
Main_4_ScarletMansion_018-Mission	咲夜去哪儿	成功得到了酿酒用的罐子！但是咲夜小姐去哪里了呢……去问问美铃小姐吧！得赶紧把罐子交给咲夜小姐，一旦她忙起来，可能就没功夫管我了！
