ID	Content
0	诶——橙？你今天来得真早啊——
1	请稍等！我们正在做营业准备，你先坐一下——
2	我不是来光顾的啦！
3	那你来——难、难道我记错日子了？今天已经是还款日了吗！？
4	米斯琪，冷静点！这还有一周呢！
5	不是“还有一周”，是“只剩一周”！
6	这离还款日也没几天了，怎么生意还是这么不温不火的啊！
7	既然还款日还没到，你管这么多干嘛！
8	哼。所以说，我是特意来给你们支招的！
9	要是你们还不上，吃亏的不还是我？
10	支招是指？
11	喂——米斯琪，你该不会真的相信她吧——
12	唔，姑且先听听嘛。
13	真是的。亏你还在佛门修行，这脾气就和嗓子一样冲，烦死了。
14	……唯独不想被你这样说啊。
15	你们拉个小摊车就想发家致富，这得等到啥时候去啊。
16	我们家和擅长建筑方面的妖怪相熟，可以帮你们装修一下店铺。这样一来就能招揽到更多客人了。
17	更多客人吗……
18	你有什么不满的？客人越多收入不是越高吗？
19	但我们的厨娘毕竟只有米斯琪一个。客人增加的话，米斯琪的工作压力也会越大……
20	那就看你们的决心到底有多重了。
21	大的店铺人流量大，赚的也会多，如果受不了的话用回现在的小破摊子也没问题。
22	是想要一口气辛苦些多赚点钱，还是温温吞吞地煮青蛙，你们自己决定吧。
23	煮青蛙？我还没试过——
24	米斯琪，她的意思应该是温水煮青蛙吧。
25	诶，是说青蛙必须要用温水煮的意思吗？
26	忘了青蛙吧！重点根本就不是青蛙好吗！
27	我委托了擅长建筑方面的妖怪来给你们提供新的店面设计，你们应该更多地感谢我才对吧！？
28	可是……突然就说要换店面……
29	对这种小摊车没必要依依不舍吧？
30	刚刚不是说了吗？更换更大的店面伴随着更大的压力，我们只有米斯琪一个厨娘——
31	如果说，你们可以根据自己的能力，在营业前灵活选择合适的店面来开店呢？听起来很棒吧？
32	诶……居然还有能做到这种事的妖怪吗？真厉害！
33	怎么样，这样就没问题了吧？
34	你为什么会为我们着想到这种程度啊？总感觉不太可信……
35	当、当然是为了你们能顺利还钱啊！
36	我也就是这回免费给你们体验一下，以后可别想有这种机会。
37	唔……既然这样，就姑且先体验一下吧……
38	哼哼。算你还有点脑子。这可不是小工程，这次就便宜你们了。
39	你们以后还想扩大店面，除了装修费，还要给我准备点料理什么的，我才会给你们帮忙……
40	……
41	……
42	不、不是给我准备！是给帮忙建筑的妖怪和我的猫咪们准备啦！
43	唔，如果只是这种程度的话，应该没问题吧……
44	嗯……那这回就姑且相信她了？
45	既然这样，那我们明天就来试试吧？
