ID	Context
0	露易兹小姐，我来找您玩啦——
1	啊！麻烦等一下——
2	好、好的！
3	……|…………
4	大功告成！
5	恭喜！不过，您是在画什么呀？
6	我在画小裙子的设计图哦。抱歉让你久等了，但是灵感稍纵即逝，不马上画下来可不行～
7	没关系的！没想到露易兹小姐还会设计衣服，好厉害啊！
8	嘿嘿。让我小小地炫耀一下吧——从设计到制作，都是我一个人完成的哦！
9	哇！您还会做衣服！？
10	是的！我在旅行的过程中，一边学习和体验各地的本土文化，然后把这种文化融合到服装设计里。
11	最后，我还会把整个创作过程记录下来和粉丝分享。对很多人来说，因为可以从中感受到平时没有接触的异族文化，很受欢迎呢～
12	露易兹小姐很享受在路上的感觉呢！
13	你还真是说到点子上了。我觉得这是旅行最重要的意义！
14	人间界里有很多人到处旅行，闭着眼睛睡到目的地，然后到热门景点合影一张。步伐匆匆，连抬头看一下天空的时间都没有，旅行就结束了。
15	这样的旅行太寂寞了，而比这更寂寞的，是连出门的时间都没有的人。
16	唔，外界的人类那么忙吗？幻想乡里的人类看起来倒是很闲……不过忙起来也没办法啦。
17	我只是感到遗憾而已。
18	人类生活在一个可以看见北极光、珊瑚礁、雪山，还有五颜六色的钟乳洞、长满苔藓的石头、闪闪发光的瀑布这样的地方，却总在一间见不到顶的小屋子里忙碌。
19	所以您才想通过自己的旅行把世界的美记录下来，和人类分享吗？
20	一开始当然只是我自己喜欢啦。不过在发现越来越多的人类喜欢看我的旅行，好像在通过我而周游世界的样子——人类把这种行为称作“云旅行”。
21	我就不再是独自旅行的心态。感觉自己好像带着好多人一起上路，我希望可以让大家都得到很好的旅途体验。
22	露易兹小姐很帅气呢，就像人类的向导一样。
23	只可惜，我不能向他们分享魔界的美——
24	要是让人间界发现魔界的存在，会发生不得了的骚动吧……
25	怎么可能。他们连外星人都不相信，无论如何都不会相信魔界的存在。
26	那也不一定吧？如果事实摆在眼前，也不由得他们不相信。
27	过去人间界也有人神隐到魔界，在见识了魔界的不可思议后回到现实世界，却认为自己只是做了一个梦。
28	就是因为人类的想象力越来越无聊，所以妖怪在外界的存在才越来越艰难呀。说起来，幻想乡也是因为这样才被创造出来的。
29	所以说，我没办法向他们分享这个童话般的世界，这些大得像房子一样的蘑菇、永远吃不完的点心……
30	虽然不能直接向人类展示魔界，不过可以像您设计衣服那样，比如把魔界偷偷藏到甜品里让他们感受……
31	你是说，把魔界概念化到甜品里……
32	说不定是个好主意！那么作为外界人，在你心里魔界是怎么样的呢？
33	魔界的印象……请您稍等一下，我去把答复带过来！
34	让您久等了，露易兹小姐——
35	我把“答复”带过来了！
36	这就是你对魔界的印象？能感受到其中有梦幻、不可思议……
37	原来把抽象元素概念化到料理里是这种感觉！谢谢你，我大概知道该怎么做了。
38	太好了。我也想看看露易兹小姐创作的“魔界”甜品！
39	那我们一起来做吧！
40	好呀！一起来做吧——
