ID	Content
0	你就是河童说的能够做出世间绝味的地上第一厨师？
1	……
2	虽然这里的一切都可以作为我的食物，但有机物只有眼前的两只小东西啊——
3	总之，先把开胃小菜端上来吧！
4	她的心情还算不太差，在我的铺垫下，现在的她应该对你有点兴趣。
5	您确定她的心情不算太差吗？感觉她已经把我们当食物了！
6	你不要害怕，虽然她比一般的客人难对付一点，但只要照平常那样去做就好了……吧？
7	您真的靠谱吗！？
8	那么，就让我来看一下你的本事吧！
9	老板娘，当心，要来了！
10	我现在已经没有什么能做的了，但是我会告诉你我所了解的她的信息！
11	嗯……！我在听！
12	这个大胃王和你以前遇到的客人都不同！她乖张不羁，又贪吃任性，至今为止的手段对她都不顶用！
13	她每一个订单都会额外要求两个特殊tag！
14	这……这是什么意思？
15	除了满足她原本订单的要求以外，额外的命题tag也必须满足！才能真正达到她的要求！
16	不愧是饕餮化身的妖怪……
17	还有最重要的是！无论是吃得不满意、等得太久，或是酒精浓度过高……
18	她的狂暴值都会有不同程度的上升！如果到达100%，就会发动一次可怕的袭击！
19	她会直接吃了我吗！？
20	我不知道……但我相信，那样的袭击我们一定承受不了多少次……
21	在上菜的过程中，一定要尽可能的考虑不要让狂暴值涨的太快！
22	最后的最后！还要注意时间！没有在时限内解决掉的话也会被判定为失败！一定要注意呀！
23	明、明白了，真的是天下第一难伺候的究极客人！！
24	但或许也是天下第一的挑战——
25	作为一个厨娘……我……我就试试看吧！
