ID	Content
0	爱丽丝小姐，我来找您玩啦——
1	接着——
2	嗯？这是什么——
3	诶！？这不是我吗？等等，是和我一模一样的人偶……
4	闲着无聊，就做来玩玩。
5	人偶飞起来了耶！朝我挥手了……您、您好！
6	噗呲——
7	嘿嘿，看着和我长得一样的人偶围着我转的感觉真奇妙。
8	很可爱吧？
9	自己夸自己稍微有点不好意思……
10	人类小孩比较偏爱动物外形的人偶，我打算下次去村子表演人偶剧的时候让这个小家伙上场。
11	没想到您会去给小孩子表演人偶技艺呢……难道您其实很喜欢小孩子？
12	唔，说不上喜欢还是讨厌，不过吸引小孩子的目光比吸引大人的目光要轻松多了。
13	我还以为爱丽丝小姐和多数魔法使一样，是喜欢独处的类型，没想到居然会主动去吸引别人的目光呢。
14	那当然是有目的的。
15	目的是？
16	为了筹集资金哦。
17	……您看起来不像是需要为生活奔波的样子诶。
18	我筹集资金并不是为了生活，而是为了能够继续研究魔法。
19	魔法很花钱吗？
20	当然呀。研习魔法需要进行大量实验，而魔法实验需要用到的材料更是数之不尽，有的材料还价格不菲。
21	除了少数家底丰厚的魔法使，大多魔法使想要在这条路上修行下去，都必须想方设法筹集资金。
22	甚至还有的魔法使为了敛财不择手段，偷摸拐骗什么都做——
23	魔法使竟然这么缺钱，真没想到！我有什么可以帮到您的吗？
24	谢谢，我自己还是可以应付得来啦。
25	可是我想为您做点什么……既然您要给小孩子表演人偶剧，那我就来做点能吸引孩子们注意的梦幻料理吧！
26	梦幻料理？
27	我听说外面世界流行把羊羹弄成各种主题，什么星空羊羹、熔岩羊羹、浅滩羊羹……我早就想试着做一次了。
28	既然要和七色的魔法使搭配，那我就做一个七色羊羹吧~
29	虽然听起来确实很梦幻，但是该怎么做呢？
30	我已经想好了，这道料理的关键就是——
31	奶油
32	羊羹已经很甜了，搭配奶油不会太腻了吗？
33	幻昙华
34	黑毛猪
35	这东西和梦幻到底哪里搭边了……
36	蜂蜜
37	羊羹已经很甜了，搭配蜂蜜不会太齁了吗？
38	幻昙华？那是什么？
39	是一种传说中的奇迹之花哦。
40	……让小孩子吃这种东西，安全吗？
41	很安全啦！您等等，我去给您做些用幻昙华做的料理尝尝吧！
42	真是梦幻般的花，有它的话，说不定真的能做出七色羊羹。
43	我会想办法做出来的。您等我的好消息吧！
44	我很期待，孩子们也一定会很高兴的……啊，我并不是期待孩子们的笑容，只是他们高兴的话给的赏钱就会更多而已。
45	怎样都好，总之我不会让你们期待落空的~
