id	name	Description
-1	铃仙	我是谁 ？？？\n我在哪 ？？？\n我为什么会在这里？？？\n
0	鸡蛋	人里供应的鸡蛋，较为常见
1	猪肉	人里圈养的家猪肉，较为常见
2	牛肉	人里圈养的肉牛肉，较为常见
3	鹿肉	猎人们在山间猎回来的鹿肉，有点珍贵
4	野猪肉	猎人们在山间猎回来的野猪肉，充满野性
5	豆腐	人里有卖的豆腐，较为常见
6	土豆	随处可见的那种普通土豆
7	洋葱	人里农田产的洋葱，较为常见
8	南瓜	人里农田产的南瓜，较为常见
9	萝卜	人里农田产的萝卜，较为常见
10	海苔	不知道从哪里流入的外来食材，还挺常见
11	鳟鱼	栖息于淡水中的冷水鱼，较为常见
12	八目鳗	一种洄游性海鱼但却在幻想乡的河流湖泊随处可见，较为常见
13	三文鱼	一种高度洄游海鱼但在幻想乡的河流湖泊可见，有点珍贵
14	金枪鱼	一种大洋性洄游海鱼但在幻想乡的河流湖泊可见，有点珍贵
15	黑毛猪肉	在高海拔深山中圈养的黑毛猪肉，非常高级
16	和牛	传闻是超优质的肉牛品种，又称雪花肉，非常高级
17	蘑菇	从魔法之森采回来的品相良好的蘑菇，无法人工种植，非常珍贵
18	松露	从魔法之森采回来的品相良好的松露，无法人工种植，非常珍贵
19	极上金枪鱼	金枪鱼中的顶级品种，非常珍贵
20	河豚	高级水产品，但体内含毒素，需小心处理。
21	桃子	桃子树的果实，较为常见
22	白果	白果树的果实，较为常见
23	虾	分布在雾之湖和玄武泽的淡水虾，较为常见
24	蜂蜜	能从树上蜂巢采到的野生蜂蜜，较为常见
25	蝉蜕	在树干上常常可以采集的昆虫外壳，较为常见
26	幻昙华	生长在沼泽中的奇迹之花，非常珍贵
27	露水	清晨采回来的露水，有点珍贵
28	竹笋	从野外采回来的竹笋，较为常见
29	黄油	西餐常用的食材，可以轻松地给食物增加难以抗拒的香味
30	面粉	有多种用途，较为常见
31	竹子	鲜翠欲滴的迷途竹林鲜切竹子，散发着清冽的竹香
32	糯米	很有粘性的米，制作出来的料理或绵软适口，或鲜嫩弹牙
33	月光草	永远亭的特产，由满月之夜的月光凝聚，非常珍贵
34	冰块	水的固体形态，帮助食材保温，晶莹剔透
35	辣椒	用于增加辣味的食材，评价非常两极
36	葡萄	在红魔馆种植的用于酿酒的葡萄
2000	并蒂莲	根茎生长在桥的附近，花朵成熟后会破水而出，淡红色并有淡香味，高级食材，也是地底人的节日装饰。
