ID	Content
0	有点奇怪，进门后就有种被人看着的感觉……
1	居然能感知到我的存在？是因为被“命运”选中所以敏感度提升了吗……
2	哇哇哇哇——！是谁！？
5	呵呵。还记得我吗——
3	啊……这个不可一世的声音，是那个米神吗？
4	是音乐之神。我布下的“机关”使世间对音乐的信仰大大增加，我的神格由此再度升华，现在已经成为传颂音乐之美的神明了。
6	音乐之神……来找我做什么？
7	那——当然是来奖赏你了。
8	咦——？我做了什么值得奖赏的事吗？
9	你积极地参与“幻想节拍”的活动，并且在你的带动下，幻想乡的居民也开始使用、并且增加了对音乐的兴趣和信仰。
10	我的神格得以转型成功，便有赖这暴增的信仰。
11	故而——给你记个头等功劳也丝毫不为过哟。
29	我、我只是在玩而已……
12	此刻我亲临其地，便是专程为你而来——
13	原、原来——
14	这就是您的模样啊！
15	我乃摩多罗隐岐奈，是音乐之神，也是后户之神，同时是障碍之神、能乐之神、地母神、宿神，也是星神——
16	更是创造了这个幻想乡的贤者之一。
40	这么多头衔，记不住啦……
17	我本是潜藏在万物背上、不可见、不可语、不可说的秘神——
18	但是，为了奖励你在幻想节拍里获得的出色成绩，以及你为我个人贡献的不朽功业——
19	特此显出身形，为你颁发属于神明的嘉奖——
20	神、神明的嘉奖……
21	现在，到我的身边来吧——
22	好、好的！
23	好好记住此刻吧。得幸观瞻我的样貌，乃你一生之荣光——
24	是吗！？虽然不是很清楚……但是感觉很了不起的样子！
25	呵呵……来，戴着这个。
26	这个是？
27	是我专门制作的勋章。我本就打算将它授予第一个完成预定内容的人。
28	哇哦——也就是说，音乐之神专程来给我授勋！？但、但我只是玩了一阵子音乐游戏而已，真的可以收下吗……
30	我认为只有兼具毅力和耐心、不断进取的人，才能够到达这个领域。
31	所以这枚勋章，唯有你堪与匹配。
32	不灭、不朽、永远闪耀灿烂，仿佛每个爱乐者剔透的心灵。
33	愿你一生将其视为至宝，如你对音乐的热爱，永不离弃。
34	我一定会好好的珍惜它的！
35	那么，音乐之神将永远祝福你——
36	以及能够抵达这里、并不懈追求更高领域，真挚地热爱着音乐的你们。
37	谢谢！再见！！！——
38	………………！
39	嗯？她最后是不是还说了什么——
