ID	Content
0	一边听幺乐团的音乐，一边品尝红茶，是我最惬意的时光。 
1	我无法想象未来的幻想乡，但我有预感，无论人类与妖怪，未来都会越来越明朗。
2	最近都是好天气，就连夜晚也星光琅琅。让人感觉心情真舒畅！
3	幻想乡的夜晚确实令人惬意。听说外界的天空就连星星都少见。
4	那不是很可怜……
5	所以我们也要珍惜这片美丽的夜幕呢。
6	既然这样，您晚上要不要到我的店里坐坐，一边用餐一边欣赏月色？
7	感谢你的邀请，那我就却之不恭了。
8	最近都是好天气，就连夜晚也星光琅琅。让人感觉心情真舒畅！
9	幻想乡的夜晚确实令人惬意。听说外界的天空就连星星都少见。
10	那不是很可怜……
11	所以我们也要珍惜这片美丽的夜幕呢。
12	既然这样，您晚上要不要到我的店里坐坐，一边用餐一边欣赏月色？
13	真是个让人心动的邀请。可惜今晚我还要编撰历史书，未必能应邀……
14	没关系。如果您早点忙完的话，随时过来都可以哦。
15	我刚刚经过稗田家的时候，看到这儿聚集了不少人，是发生什么事了吗？
16	最近粮食丰收，今晨村里的农户们又送来了不少新鲜的食材。如果你有需要，就拿些回去吧。
17	诶……这样不太好吧？
18	那个量我们无论如何也吃不完，却又推却不去。与其摆烂，不如转赠给您。
19	原来是这样，那我就不客气啦。谢谢！
20	米斯蒂娅，最近生意还好吗？
21	我也不太清楚到底好不好，姑且是越来越适应了！
22	是吗……一开始想必是手忙脚乱，能够稳定下来已属不易。
23	嘿嘿，也是多亏了大家对我的关照啦。
24	举手之劳而已。我家里还有一些陈年的老酒，如蒙不弃，不妨也拿去吧。
25	真是……太感谢了！
