ID	Content
//重修「第一次试炼」
0	妖梦小姐，我觉得，果然还是不能懈怠修炼。
1	这么说，要找我配合进行修炼了吗？
2	没错，还请严格地指导我吧！
3	没问题，就通过我的修炼，来将老板娘的锋芒磨砺到极致吧！
//第一波开始
4	欢迎再次回到这里，一切都还是老样子，很熟悉吧？
5	又是这里，很怀念呢。
6	幽幽子大人虽然认为无所谓，但我觉得也许未来你仍需要修炼的场所所以……
7	这个“真实与虚假之境”在我的强烈要求下保留了下来了。
8	原来如此，能够在这里高强度的磨炼自己的技艺，又不会占用外界的时间！
9	就像精○与时○的小屋那样方便呢！
10	那是什么？
11	啊……我也不知道！但是顺口就说出来了。
12	那么我们就开始吧。第一次试炼，你依然只能使用我所准备的食材和酒水。
13	是第一波，是你最熟悉的兽道客人。
14	目标营业额是到达1000元！对现在的你来说应该很轻松，但是——
15	但是仍然不能懈怠和大意，对吗？
16	你的心和意志真的越来越滚烫和纯熟了呢。
17	没错！无论如何，都不能麻痹大意，那么我们开始吧！
//第一波完成&第二波开始
18	非常顺利，不愧是你，那么我们马上进入下一阶段！
19	面对人间之里的所有客人，并且漂亮的拿到2000元的营业额。
20	相信你也能漂亮的完成吧！
21	没问题！
//第二波完成&第三波开始
22	这次也非常顺利，一鼓作气进入最后阶段！
23	接下来面对博丽神社的所有客人，然后拿到3000元的营业额。
24	轻轻松松的碾压过去吧！
25	来就来吧！
//第三波通过
26	呼…呼…结束了吗？
27	没错！成功了呢！不愧是老板娘，即使是和平的日子，也不曾让技巧生疏呢。
28	但是这份修炼也依然不轻松……很久没有这种手忙脚乱、把自己逼到极限的感觉了。
29	我在此重新见证了你的水平，相信未来的日子，你也会向厨艺的更高峰攀登和突破。
30	一定会成为了不起的大人物吧！
31	哈哈……那倒不至于啦，只要有人需要我的料理，我就想提升自己，让他们吃的更开心。
//重修「第二次试炼」
//第一波开始
32	欢迎再次回到这里，一切都还是老样子，很熟悉吧？
33	又是这里，很怀念呢。
34	幽幽子大人虽然认为无所谓，但我觉得也许未来你仍需要修炼的场所所以……
35	这个“真实与虚假之境”在我的强烈要求下保留了下来了。
36	原来如此，能够在这里高强度的磨炼自己的技艺，又不会占用外界的时间。
37	就像精○与时○的小屋那样方便呢！
38	那是什么？
39	啊……我也不知道！但是顺口就说出来了。
40	那么我们就开始吧，第二次的试炼，会提升难度。
41	除了普客以外，稀有的客人也会不断涌入，这你已经十分清楚了吧？
42	我之前已经经历过……没问题！
43	依然是三波混合出现的客人，但是这次你可以自由的使用平时准备的食材和酒水。
44	同样不管使用多少，也不会实际消耗库存，请尽情地使用吧！
45	第一波，将同时出现兽道和人里的客人。
46	目标是达到3000元营业额，以及拿下3张符卡，没有问题吧？
47	没问题！
48	不愧是你，那就开始了！
//第一波完成&第二波开始
49	非常顺利，不愧是你，那么我们马上进入下一阶段！
50	这次将同时出现兽道、人里和博丽神社的客人。
