ID	Context
0	依姬小姐，月之都也有魔法使吗？
1	为什么突然这么说？
2	我在街上看到有月之民像魔法使一样做实验，但是实验材料都是些食材。
3	你看到的应该是制作分子料理的过程。
4	分子料理？
5	没错。分子料理也被称为现代“巫术”。因为它可以让土豆以泡沫状呈现，让荔枝变成鱼子酱状，在具有鱼子酱的口感的同时，还保留荔的味道。
6	哇！听起来真有趣！您可以再告诉我一些关于分子料理的事吗？
7	分子料理的技术对落后的地上妖怪来说，有一定门槛——
8	别看我这样，我对自己的厨艺其实还蛮有自信的！
9	与其说分子料理是一种单纯的厨艺，不如说是科学与厨艺的结合，用严谨的科学态度去对待烹饪。
10	用科学……我知道了！是一种月都特有的名为“科学”的食材吗？
11	哼，看在你是师父大人送来的人份上，我就好好给你上一课吧。
12	分子料理是将所有烹饪技术和结果，用科学方去解释，并用数字精确控制的一项烹饪艺术。
13	用、用数字控制的烹饪艺术？唔……类似火候什么吗？据说外面世界可以把火候具现化成数字……
14	当然不是这种程度——
15	分子料理的理论，是在研究了食物在烹调过程中观察、认识温度升降与烹调时间长短的关系，再加入不同物质，令食物产生各种物理与化学变化。
16	在充分掌握之后再加以解构、重组及运用，做出颠覆传统厨艺与食物外貌的烹调方式。
17	感觉好厉害的样子！虽然不太懂……
18	简单来说，分子料理融合了物理、化学和烹调。改造食物本身的分子结构，将食材的味道、口感、质地、外形完全改变，再重新组合成一道“物”。
19	简单来说？……我明白了！
20	哦？不愧是师父大人送来的人，能这么快领悟我的话，倒让我对你有些刮目相看了。
21	简单来说就是，这一点也不简单。
22	……
23	简直无法沟通。恐怕得有师父大人那样的智慧，才能够与你们这些几乎和混沌一样的生物交谈吧。
24	科学什么的实在太难理解啦！
25	现在想退出已经太晚了。我的字典里可没有半途而废！
26	呜呜……我只是随便问问啦……
27	既然用说的难以让你理解，那你就亲自做一次试试吧！
28	诶？！要怎么做？
29	就从这个最基础的分子料理——分子蛋开始吧。
30	蛋料理？这个我熟！不管什么样的蛋料理我都做过哦！
31	那么，我把需要的食材写在纸上，你先去准备吧——
32	事先说明，我是不会料理受过精的蛋的哦！
33	呵呵。需要准备的材料是这些——
34	……
35	…………
36	有什么问题吗？
37	不、不是要做蛋料理吗？
38	从表面来看，是“蛋料理”没错。
39	什么表面里面的，既然是蛋料理，为什么食材里没有蛋呢？
40	这就是分子料理有趣的地方。你一会儿就知道了。
41	……真是奇怪的料理！
42	依姬小姐，我已经把材料准备好了。接下来要怎么做？
43	鸡蛋的样子你应该见过吧——
44	选用水分较少的北豆腐作为蛋白，甜糯的南瓜作为蛋黄，再用白巧克力做成蛋壳，就可以还原出鸡蛋的模样与口感。
45	 ……为什么不直接吃鸡蛋呢？
46	因为那样很无趣。
47	月之民早在很久以前就已经在物质上、技术上达到充裕的境界，比起口腹之欲，现在最重要的是提高精神上的充足感。
48	真是奇怪的种族……
49	不过仔细想想，这和地上的“素鸡”之类的原理好像差不多……
50	这是最基本的分子料理之一，没有理由拿不到满分。
51	……我会努力的。
