ID	Content
0	辉夜小姐，您这儿的兔子真多呀。
1	是啊，这一点也和在月都的时候一样呢。
2	月都是个什么样的地方？
3	月之都……也是一眼望去尽是些兔子和桃子什么的地方。
4	那还真是和竹林很像呢。只是桃子变成了竹子。
5	桃子早就已经吃腻了，竹子不知道还能吃多久呢~
6	说起来，永远亭这儿有许多用竹子做的家具呢。
7	毕竟竹子多嘛。
8	这儿的竹子确实长得太多太快了。居住在竹林里，应该会让人感到很困扰吧？
9	这些事情倒还用不着我来困扰。
10	唔……如果是竹笋的话还好，竹子不太好下口呢……
11	是吧？
12	不过，既然可以用竹子做家具，用竹子做点餐具啥的或许也可以？
13	用着呢。喝茶的杯子都是竹子做的。
14	所以每次喝茶都有一股竹子的清香味。这倒是一直都不觉得腻。
15	竹子确实有种让人心旷神怡的味道呢——啊！！
16	别突然一惊一乍的啊。
17	辉夜小姐，既然用竹杯来盛茶，茶水会有竹香味——
18	那用竹子来作为烹饪辅具，不就可以让料理也有竹香味了吗？
19	嗯？大概吧。
20	没错！那……我就去做来试试吧！
21	哦？想到新料理了吗？
22	是的！非常感谢您！辉夜小姐！
23	呵呵，那就加油吧~
