ID	Content
0	又是这里…… 
1	既然你自认为已经付出了足够的努力，那就在这里验证一下修行的成果吧。
2	……
3	好！我这次一定会证明给你看！
4	这次我会提升试炼的难度，除了普客以外，那些稀有客人也会不断涌入。
5	依然是三波客人，但是会混合出现，同时，为了考验你的积累，这次需要使用你自己准备的食材和酒水。|因为这里是幻境，所以你就算使用多少食材也不会真的消耗库存，不过，下次就不一定了……
6	除了营业额的要求，这次我也会将取得的符卡数作为考核标准。
7	符卡数是……
8	即是说，不但要达到营业额的要求，还要尽可能满足特殊客人的喜好。
9	用只有你才能提供的优质服务，给它们打造最好的用餐体验吧！
10	现在是第一波，将同时出现兽道和人里的客人！
11	目标营业额是到达3000元！以及拿下3张符卡，好好加油吧！
12	好、好的！
13	这结果如我所料，马上立刻进入下一阶段！
14	没问题！
15	你这段时间究竟都做了什么！？
16	真、真的非常对不起！！！
17	接下来是第二波，将同时出现兽道、人里和博丽神社的客人！
18	目标营业额是到达4000元！以及拿下5张符卡。虽然难度提升了，但相信你没有问题！
19	第二阶段也算是通过了，立刻开始最终阶段！
23	看样子你没有辜负我的期待，确实有好好地努力！
24	但是这第三波，是会同时出现至今为止你遇到的所有的客人。
25	尽管有些难，但我相信，你一定可以成功地跨越这场困难。
26	目标营业额是到达5000元！以及拿下7张符卡。向我证明你是可以战胜一切的料理人吧！
20	卷起袖子干吧！
21	真不该在气势正好的时候翻车的，这段时间来你到底学了什么！？
22	很抱歉……让你失望了……
27	勉勉强强算是通过了……
28	你也看到了，就这点修行成果，还远远达不到可以松懈的程度。
29	……
30	我明白了。我会……继续努力的。
31	虽然你的料理做得不错，但还是差了一些气势。
32	接下来除了要继续提升自己的厨艺，还要一并提升你的气势。
33	气势……
34	时间已经不多，我们都在尽力改变命运，如果悲剧无法避免，你……将是最后的希望。
35	……
36	回来了……
37	虽然还不太清楚事情的全貌——但是，确实是非常重要的事吧……
38	灵梦小姐她们把这件事托付给我，一定是下了很大的决心。我、我不能辜负她们的期待！
39	唔……但是气势……
40	到底该怎么做呢……
41	失败了……这是最可怕的事情……
42	至今为止都节节胜利，在最后一刻满盘皆输。
43	我已经没有任何可以相信的事物了……
44	妖梦小姐……
45	请你不要灰心丧气！
46	虽然我没能通过试炼，但再一次认识到了自己的短板。
47	我现在清楚的知道自己该加强哪方面的能力了，下一次，我还会做的更好的！
48	下一次……恐怕，没有那么多时间给你了……
