ID	Content
0	美铃小姐，您巡逻回来啦？
1	哎呀，老板娘，你等很久了吗？
2	没有，我也是刚过来。
3	美铃小姐除了门卫的工作，还要巡逻，真是辛苦了。
4	巡逻倒还没什么，只是绕馆走一圈而已，相比其他工作算是很轻松了。
5	咦，难道美铃小姐还有其他工作吗？
6	有啊，各种各样的杂活……还有花坛也是我在管理的。
7	花坛吗……没想到美铃小姐对花也有研究呢。
8	我哪有什么研究啊，只是每天干点浇水除虫之类的杂活而已。
9	唔，您的工作还真不少呢。
10	可不是嘛！家里的那位大人还随随便便就拿花坛来做实验。之前还弄出个什么麦田怪圈，谁都不知道要怎么复原。
11	弄得我一直在担心大小姐会生气，连觉都差点睡不着了。
12	比起体力活，这种精神压力才累人呢。
13	是、是啊……
14	刚认识美铃小姐的时候，还以为美铃小姐总是偷懒……
15	了解之后，才知道美铃小姐一直以来都承受了不少啊。
16	也没到这种程度啦。
17	什么工作都交给美铃小姐，美铃小姐难道不会觉得自己被欺负了吗？
18	咦，我倒没有这样想……
19	而且也没有什么都让我做啦，至少我知道有一个人比我做得更多——
20	而且她总能做得很好。和她比起来，我还需要更努力才行呐。
21	我觉得美铃小姐已经很努力了哦！
22	哎呀，我还差得远啦，至少得努力做到站岗的时候不打瞌睡……
23	可是，美铃小姐连个换岗的人都没有，就算是妖怪也不可能一直不睡觉的呀。
24	……我们家那个人类倒是不用睡觉的样子。
25	……现在的人类啊……真是……
26	就是说呀，小姐们也就算了，就连人类都比我强。
27	我总想着在遇到危险的时候，自己可以站在最前线为大家而战，但是——
28	最弱的我真的有资格给她们护卫吗……
29	怎么会呢？如果您真的这么弱，为什么您的主人还留着您呢？肯定是因为美铃小姐在大家心中有不可替代的一面呀！
30	是、是吗……唔，比如说呢？
31	比如美铃小姐身上有种让人莫名放松的气质，和美铃小姐聊天总是很愉快。
32	您看，不是连人类都觉得您很亲切吗？
33	这一定就是美铃小姐的“魔力”哦！
34	哎呀，你这样说让我怪不好意思的……
35	只不过，美铃小姐治愈了别人，又有谁来治愈美铃小姐呢……
36	啊……你也不用这么……
37	美铃小姐的压力，就由我来缓解吧！
38	哈哈哈，虽然不知道怎么回事，但是感觉很热血啊！
39	我有一个减压的绝招哦。把压力投入音乐后，就会觉得一身轻松了！
40	音乐吗？虽然不太擅长，但是我也很喜欢呢！
41	真的吗？那以后我开演唱会的话，美铃小姐一定也会来吧？
42	这个……
43	对了……美铃小姐是不能随便离开岗位的……
44	不！我一定会去的！
45	真的吗？不会让你为难吧……
46	不会啦。老板娘的演唱会一定很热闹，我也不想错过！
47	为了这一天的到来，我要更努力工作，才好跟大小姐争取休假呐！
48	谢谢您！我这边也会努力的！
49	不过……这样的话，我就没有精力去你那边巡逻了……
50	啊。原来您还有在我的店附近巡逻吗……没关系！现在店里各方面都稳定下来了，我已经不会再像刚来的时候那样不安了！
51	唔……这样吧，在我没时间去你那边的时候，就由“它”来替我守护夜雀食堂吧！
52	诶？这是……
53	这是我家乡的宠儿哦。前阵子吃了你做的家乡菜后，有点怀念家乡，就做了这个来玩玩。没想到妖精们居然把它当成了我……
54	噗嗤，妖精大概只认得您的帽子了。
55	这样也不错，那就让它代替我守护夜雀食堂吧~
56	是！我会好好照顾它的！
