ID	Content
0	怎么啦，好像有点提不起劲的样子？
1	是、是吗？
2	或许是因为我有些累了吧……
3	啊——为什么非要努力不可呢？让梦想什么的见鬼去吧！
4	是——这样吗——
5	喂喂，这时候你应该安慰我才对吧。
6	你也不是会就这样气馁的妖怪吧？
7	虽然是这样没错啦……说起来，你真的很喜欢说这句话呢。
8	是——
9	这样吗——
10	看吧?
11	唔……
12	啊——说不定我就是执念太重了。什么时候我也能像你一样达观就好了。
13	我很达观吗？
14	你的口头禅虽然看起来是疑问句，但其实你根本就没有期待答案吧？
15	唔……
16	你知道吧？我在黑暗中其实也什么都看不见。所以经常会撞到树，弄得遍体鳞伤。
17	对呀。真是搞不懂你为什么要这样做。
18	你不觉得在黑暗中撞到树，也是一种浪漫吗？
19	不觉得。完全不明所以。
20	正是因为什么都看不见，所以我才可以“随心所欲”地飞呀。
21	目的地什么的，答案什么的，真的有那么重要吗？
22	唔……
23	你的心会指引你方向，你的心会告诉你答案——
24	是……是这样吗……
25	是不是呢~虽然你嘴上说着气馁的话，但是你的心从不曾气馁。
26	不就是这么一回事吗——
27	我好像有点明白了，又好像不太明白……总觉得你说出了很了不起的话啊。
28	是——这样吗——
29	不过，有一点我明白了。
30	既然我的内心已经坚定，那就没什么好抱怨的啦！
31	总之一步步地朝梦想走下去就是了！终有一天，我会把幻想乡有史以来最盛大的演唱会开起来的！
32	是——
33	是——这样哦！一定！
34	真期待呢~
35	哈哈，这张演唱会门票先给你！到时候，你可千万不要迷路了哦！
36	那这个也给你哦。
37	诶？
38	你不是给了我演唱会门票吗？我也想给你点什么~
39	露米娅也懂得“礼尚往来”了呢。真是长大了啊！
40	是——这样吗？
